index,Website,타이틀,설명,Cnt,기타,환경정책,지구환경,환경보건,자원순환,기후변화,자연환경,환경영향평가,대기환경,물환경,KR_Keywords,EN_Keywords,CID
9960,http://www.alio.go.kr/alio/main/main.jsp.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705666"
10893,http://egis.me.go.kr/ba/grdCoverIntroPage.do?mode=2,,,1,0,0,0,0,0,1,0,0,0,0,",토지이용통합모델, 토지이용·피복 변화, 현 상태 유지 시나리오, 정확도 검증",",Integrated land-use model, Land-use and land-cover change, Business-as-usual scenario, Accuracy assessment",",707870"
9987,http://www.mof.go.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10902,http://www.adaa.asn.au,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
9950,https://unfccc.int/files/documentation/submissions_from_parties/application/pdf/japan.pdf,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
10905,http://info.linkclub.or.jp/nl/2008_01_02/P0,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
10904,http://www.sfez.co.kr/main.php,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
9951,http://www.environment.gov.au/node/36279,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
10903,http://acaa-use.org,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
9952,http://climateadaptation.tumblr.com/post/3810604322/japanese-climate-adaptation-policy,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
9953,http://resilient-cities.iclei.org/fileadmin/sites/resilient-cities/files/Resilient_Cities_2014/PPTs/C/C3_Wang.pdf,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
10896,http://epa.gov/osw/conserve/imr/indust.htm,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
10900,http://www.tva.gov,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
9954,http://www.ccadaptation.org.cn,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
9955,https://www.env.go.jp/en/earth/cc/wacc_080618.pdf,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705656"
10899,http://www.tva.gov/kingston/environmental_data,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
9956,http://results.gov,,,1,0,0,0,0,0,1,0,0,0,0,",기후변화, 국가기후변화적응대책, 이행평가, 환류 시스템, 평가 지표",",nan",",705662"
10898,http://www.uncc.edu,,,1,0,0,0,0,1,0,0,0,0,0,",화력발전소, 석탄회, 석탄회 재활용, 석탄회 환경안전성, 환경관리방안",",Thermal Powerplants, Coal Ash, Coal Ash Recycling, Coal Ash Environment Safety Environmental Management Method",",707873"
10883,http://www.boprc.govt.nz/media/414663/13-Draft-Rivers-and-Drainage-AssetManagement-Plan.pdf,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9967,http://www.edaily.co.kr/news/NewsRead.edy?SCD=JE41&newsid=01144726606319504&DCD=A005,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10882,http://kr.or.kr,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
10868,http://www.egis.me.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9975,http://www.wins.go.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10869,http://www.river.go.kr.,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9976,http://tradedoctor.kotra.or.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9977,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0005960788,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9978,https://www.eishub.or.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9979,http://www.jejunews.com/news/articleView.html?idxno=1734040,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9980,http://www.etoday.co.kr/news/section/newsview.php?idxno=943134,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10881,http://www.wamis.go.kr/WaterMap2013/WMS.aspx?paramTab=2,,,1,0,0,0,0,0,0,0,0,0,1,",물환경서비스, 물인프라, 지속가능성 평가체계, 경제-사회-환경 지속가능성 시스템, 자산관리",",Sustainability Assessment, Water Infrastructure, Water Service, Asset Management, Triple Bottom Line",",707838"
9981,http://globalwindow.org/gw/overmarket/GWOMAL020M.html?BBS_ID=10&MENU_CD=M10103,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9982,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0002562686,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9983,http://www.segye.com/content/html/2014/08/17/20140817001784.html?OutUrl=naver,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9984,http://water.epa.gov/infrastructure/greeninfrastructure/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
