C_ID,CLASS_ID,CLASS_NAME,RECORD_STATE,CREATE_DATE,MODIFY_DATE,DC_IDENTIFIER,DC_TYPE,KEI_TITLEKOREA,KEI_TITLEENGLISH,KEI_ALTERNATIVETITLEKOREA,KEI_ALTERNATIVETITLEENGLISH,KEI_SERIESMAINTITLE,KEI_SERIESNUMBER,KEI_AUTHORKOREA,KEI_AUTHORENGLISH,KEI_COAUTHORKOREA,KEI_COAUTHORENGLISH,KEI_COPERATEMANAGERKOREA,KEI_COPERATEMANAGERENGLISH,KEI_COPERATEAGENT,KEI_PUBLISHER,KEI_PUBYEAR,KEI_AGENTNAME,KEI_RESEARCHAREA,DC_LANGUAGE,KEI_OPENMETA,KEI_OPENIMAGE,KEI_TOTALPAGECOUNT,KEI_KEYWORDKOREA,KEI_KEYWORDENGLISH,SERVICE_URI
652828,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-14,기본연구,청정생산구축 사례연구,Review of Policies and Practices of Cleaner Production,,,연구보고서,98-14,김용건,"Kim, Yong-Gun",남윤미,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"vii, 212p.",,Clean technology,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE14] 청정생산(김용건).pdf
652829,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-16,기본연구,기후변화협약에 대응한 에너지 가격구조 조정방안,Adjustment Schemes of the Energy Price Structure in Coping with Climate Change,,,연구보고서,98-16,강광규,"Kang, Kwang-Kyu",,,,,,한국환경정책·평가연구원,19981230,,지구환경,한국어,,,"iv, 128p.",,Power resources-Prices,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE16]기후변화협약(강광규).pdf
652830,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-19,기본연구,대기배출시설에서의 사전오염저감을 위한 관리방안,Management of Air Pollutant Generating Facilities through Precautionary Principles,최적방지시설을 중심으로,,연구보고서,98-19,공성용,"Gong, Seong-Yong",이신철,,,,,한국환경정책·평가연구원,19981230,,대기환경,한국어,,,"ix, 171p.",,Best Available Technology(BAT),http://library.kei.re.kr/dmme/img/001/003/001/[98_RE19]대기배출시설(공성용).pdf
652831,4,기본연구,u,19990329,20120111,A 환1185 1998 RE-20,기본연구,21세기 대기보전정책 전략수립에 관한 연구,[98_RE20]Research on the Strategies of the 21st Century Air Pollution Management Policy,,,연구보고서,98-20,한화진,"Han, Wha-Jin","강광규,윤정임",,,,,한국환경정책·평가연구원,19981230,,대기환경,한국어,,,"vi, 158p.",,Environmental policy,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE20]21C대기보전정책(한화진).pdf
652832,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-22,기본연구,잠실수중보 상류 수계의 수질유해물질 통제방안,Management of Toxic Chemicals in the Up-stream of Jamsil,,,연구보고서,98-22,김강석,"Kim, Kang-Seok",김지훈,,,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"v, 102p.",,Water- Pollution,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE22]잠실수중보(김강석).pdf
652833,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-23,기본연구,유해폐기물 재활용산업의 활성화 방안,Activation Plans for the Recycling Industry of Hazardous Wastes,고형폐기물을 중심으로,,연구보고서,98-23,이희선,"Lee, Hee-Sun",구현정,,,,,한국환경정책·평가연구원,19981230,,폐기물관리,한국어,,,"xii, 325p.",,Hazardous waste site remediation,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE23]유해폐기물(이희선).pdf
652834,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-24,기본연구,하·폐수처리장 슬러지의 합리적 관리방안,Management for Beneficial Reuse of Sewage and Wastewater Sledges,,,연구보고서,98-24,염규진,"Yum, Kyu-jin",구현정,"Koo, Hyung-Jeong",,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"vii, 121p.",,Wastewate management,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE24]하폐수처리장슬러지(염규진).pdf
652835,4,기본연구,u,19990329,20120113,A 환1185 1998 RE-25,기본연구,유전자 변형된 생물체(LMOs)의 안전성 확보방안,Biosafety of Living Modified Organisms(LMO) : Focusing on Policy Advise Toward the Cartagena Protocal on Biosafety,생명공학안전성의정서에 대한 환경정책을 중심으로,,연구보고서,98-25,박용하,"Park, Yong-ha",,,,,,한국환경정책·평가연구원,19981230,,자연환경,한국어,,,"vii, 198p.",,Microbial ecology,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE25]생명공학(박용하).pdf
652836,6,수시연구,u,19990329,20120116,A 환1185 1998 WO-03,수시연구,폐수배출부과금제도 개선방안,Study on the Improvements for the Waste Water Effluent Charge System,,,정책보고서,Mar-98,문현주,"Moon, Hyun-Joo",,,,,,한국환경정책·평가연구원,19981101,,물환경,한국어,,,"v, 89p.",,Water quality management,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-03폐수배출부과금제도(문현주).pdf
652837,6,수시연구,u,19990329,20120116,A 환1185 1998 WO-04,수시연구,비점오염원의 제도적 관리방안,Management System for Nonpoint Source Pollution Control,,,정책보고서,Apr-98,최지용,"Choi, Ji-Yong",,,,,,한국환경정책·평가연구원,19981230,,물환경,한국어,,,"iv, 111p.",,Nonpoint source pollution,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-04비점오염원(최지용)2.pdf
